"PTS","MP","FG","X3P","FT","FT.","Age","FG.","AST","Pos1"
5,22.1,2.2,0,0.7,0.436,31,0.49,2.2,"C"
9.1,20.5,2.9,1.6,1.8,0.878,29,0.402,1.3,"SG"
8.2,21.9,3,1.6,0.7,0.714,25,0.425,1,"SG"
7.1,24,2.5,1.5,0.6,0.735,29,0.452,2.7,"SF"
9.2,23.6,3.5,1.4,0.8,0.818,35,0.436,1.8,"SF"
2.1,4.1,0.8,0.2,0.3,0.733,24,0.361,0.5,"PG"
1.8,4.4,0.8,0.1,0.3,0.5,23,0.563,0.2,"PF"
20.2,25.4,6.5,1.2,6.2,0.783,22,0.466,2.1,"C"
5.4,14,2.1,0.5,0.7,0.63,25,0.44,1,"PF"
6.8,19.4,2.7,0,1.3,0.692,26,0.515,1,"C"
1.8,3.3,0.5,0.3,0.5,1,25,0.4,0.3,"SG"
23.1,36.4,8.3,1.1,5.4,0.801,26,0.451,10.7,"PG"
10.2,25.9,4.1,0.7,1.3,0.867,27,0.48,1.5,"PF"
3.8,15.8,1.5,0.6,0.3,0.703,29,0.435,0.9,"PF"
12,25.8,4.9,0,2.2,0.811,24,0.557,0.7,"C"
6.2,17.8,2.3,0.4,1.3,0.75,27,0.42,1.6,"SG"
14.7,29.2,5.8,1.4,1.6,0.798,24,0.445,2.6,"SG"
1.7,6.7,0.7,0,0.3,1,29,0.385,0,"C"
4.4,10.4,1.6,0.5,0.7,0.794,25,0.387,0.5,"SG"
1.5,5.6,0.6,0,0.3,0.571,22,0.441,0.3,"PF"
3.4,13.1,1.3,0.5,0.3,0.917,35,0.41,2.1,"PG"
7,15.5,3,1,0,0,25,0.545,1.5,"PF"
4.9,17.3,2,0.6,0.3,0.667,29,0.373,2.3,"PF"
10.2,30.5,3.8,1.4,1.1,0.779,23,0.394,2.6,"SG"
15.4,32.7,6,1.5,1.8,0.708,26,0.454,7.3,"PG"
4.9,13.6,1.6,0.7,0.9,0.75,21,0.451,0.5,"PF"
13.2,28.8,5.1,0.2,2.8,0.723,22,0.488,3.6,"PF"
7.1,16.4,2.5,0.8,1.4,0.791,23,0.424,0.9,"SF"
6.9,18.4,2.7,0.9,0.6,0.75,26,0.459,0.9,"C"
7.7,20,2.8,1.2,0.8,0.825,27,0.433,1.2,"SG"
10.9,34.7,4.4,0.4,1.6,0.617,20,0.356,3.7,"SF"
10.2,21.4,4.2,0,1.8,0.571,22,0.507,1.9,"C"
4.2,10.3,1.6,0.4,0.7,0.842,23,0.456,0.3,"SF"
25.1,37,9.8,1.2,4.3,0.832,21,0.542,2.7,"C"
25.5,33.4,8.6,2,6.3,0.88,25,0.485,3.5,"SF"
4,9.2,1.5,0.2,0.8,0.714,21,0.392,1.4,"PG"
9,20.5,3.5,0.9,1.2,0.732,25,0.512,2,"C"
23.2,34.7,8.1,3,3.8,0.847,26,0.444,5.5,"PG"
9.6,21.2,3.7,0,2.1,0.693,27,0.548,0.9,"PF"
11,26.9,4,1.3,1.6,0.708,27,0.409,2.4,"SF"
13.8,33.3,4.9,2,2,0.832,23,0.399,2.5,"SG"
25.1,33.4,8.9,1.9,5.4,0.875,28,0.537,4.8,"PF"
19,31.4,6.2,2.4,4.3,0.871,28,0.427,1.9,"PF"
4.7,11.4,2.2,0,0.3,0.636,27,0.551,0.5,"PF"
2.5,8.4,1.1,0,0.4,0.618,20,0.523,0.5,"C"
14.7,30.7,5.2,1.6,2.8,0.88,25,0.45,3.4,"SF"
